dkey,title,authors,source,type,keywords,url
ccb3a05dd2af1e02f05259b58562c0ff,Nauczanie przedmiotów przyrodniczych w Polsce – diagnoza i wyzwania,"Poziomek, Urszula","Poziomek, U. (2022). Nauczanie przedmiotów przyrodniczych w Polsce – diagnoza i wyzwania, Studia BAS, 2(70), 119–146. https://doi.org/10.31268/StudiaBAS.2022.15.",article,"['edukacja przyrodnicza', 'przedmioty przyrodnicze', 'egzamin maturalny', 'PISA 2018', 'TIMSS 2019', 'nauczyciele', 'metoda badawcza', 'umiejętności badawcze', 'kompetencje społeczne']",https://depot.ceon.pl/handle/123456789/21567
01eca3e9cb07f43097ead94ad74ac2d7,Zmiany w organizacji i funkcjonowaniu kształcenia zawodowego w Polsce. Bilans reform 1989–2022,"Sitek, Michał","Sitek, M., Stasiowski, J. (2022). Zmiany w organizacji i funkcjonowaniu kształcenia zawodowego w Polsce. Bilans reform 1989–2022. Studia BAS, 2(70), 71–93. https://doi.org/10.31268/StudiaBAS.2022.13.",article,"['wstępne kształcenie i szkolenia zawodowe', 'organizacja kształcenia zawodowego', 'koszty kształcenia zawodowego', 'jakość i efektywność kształcenia zawodowego']",https://depot.ceon.pl/handle/123456789/21566
8a50f834abc5958c7ac958dc520fec1f,Problemy kształcenia i doskonalenie nauczycieli w Polsce – w kierunku profesjonalizacji zawodu,"Szempruch, Jolanta","Szempruch, J. (2022). Problemy kształcenia i doskonalenie nauczycieli w Polsce – w kierunku profesjonalizacji zawodu. Studia BAS, 2(70), 27–47. https://doi.org/10.31268/StudiaBAS.2022.11.",article,"['kształcenie nauczycieli w Polsce', 'doskonalenie nauczycieli', 'kompetencje nauczycie']",https://depot.ceon.pl/handle/123456789/21565
1f80e354c7679aa204c5671e5a01dae0,"Nauczanie przedsiębiorczości w polskich szkołach średnich – koncepcja, realizacja, rekomendacje","Bień, Izabela","Bień, I. (2022). Nauczanie przedsiębiorczości w polskich szkołach średnich – koncepcja, realizacja, rekomendacje. Studia BAS, 2(70), 147–163. https://doi.org/10.31268/StudiaBAS.2022.16",article,"['przedsiębiorczość', 'edukacja', 'kompetencje kluczowe']",https://depot.ceon.pl/handle/123456789/21564
728a91d4670b8652f11d39b315498f1d,Wpływ zdalnego nauczania podczas pandemii COVID-19 na czas poświęcany na naukę przez uczniów branżowych szkół I stopnia i techników w roku szkolnym 2019/2020 i 2020/2021,"Humenny, Grzegorz","Humenny, G., Kłobuszewska, M., Płachecki, T. (2022).Wpływ zdalnego nauczania podczas pandemii COVID-19 na czas poświęcany na naukę przez uczniów branżowych szkół I stopnia i techników w roku szkolnym 2019/2020 i 2020/2021. Studia BAS, 2(70), 165–190. https://doi.org/10.31268/StudiaBAS.2022.17",article,"['szkolnictwo branżowe', 'pandemia', 'czas nauki', 'zdalne nauczanie']",https://depot.ceon.pl/handle/123456789/21563
f6ba0fc5c9fefd6a56d7e44c28b2d208,Przemiany w kształceniu nauczycieli wczesnej edukacji w XXI w. w Polsce,"Skrzetuska, Ewa","Skrzetuska, E. (2022). Przemiany w kształceniu nauczycieli wczesnej edukacji w XXI w. w Polsce. Studia BAS, 2(70), 9–26. https://doi.org/10.31268/StudiaBAS.2022.10",article,"['kształcenie nauczycieli w Polsce', 'nauczyciele wczesnej edukacji', 'standardy kształcenia nauczycieli']",https://depot.ceon.pl/handle/123456789/21562
a60c5e37a6def2bb94b3747031e34c25,Edukacja matematyczna w Polsce w świetle badań i wyników egzaminów zewnętrznych – wybrane aspekty społeczne,"Baczko-Dombi, Anna","Baczko-Dombi, A. (20220. Edukacja matematyczna w Polsce w świetle badań i wyników egzaminów zewnętrznych – wybrane aspekty społeczne. Studia BAS, 2(70), 95–117. https://doi.org/10.31268/StudiaBAS.2022.14",article,"['matematyka', 'edukacja', 'PISA', 'TIMSS', 'PIAAC', 'egzaminy zewnętrzne', 'Polska', 'stereotypy', 'lęk przed matematyką', 'decyzje edukacyjne']",https://depot.ceon.pl/handle/123456789/21561
48c1c512b70c1973b830a0cdbcfa2d14,System wynagradzania nauczycieli w Polsce – skutki dla lokalnych budżetów,"Sekuła, Alicja","Sekuła, A., Nucińska, J. (2022). System wynagradzania nauczycieli w Polsce – skutki dla lokalnych budżetów. Studia BAS, 2(70), 49–70. https://doi.org/10.31268/StudiaBAS.2022.12",article,"['nauczyciele', 'wynagrodzenia nauczycieli', 'część oświatowa subwencji ogólnej', 'wydatki oświatowe']",https://depot.ceon.pl/handle/123456789/21560
0d076cd6d5dc8d306099fa86b174b7c2,Proces tworzenia polityki publicznej wobec niepełnosprawności,"Kubicki, Paweł","Kubicki, P., Pawlak, M., & Mica, A. (2020). Proces tworzenia polityki publicznej wobec niepełnosprawności. Polityka Społeczna, 47(10), 22-29.",article,"['polityka publiczna', 'niepełnosprawność', 'osoby z niepełnosprawnościami', 'porażka', 'prawa człowieka']",https://depot.ceon.pl/handle/123456789/21558
6f64654d712b51eaefd9e6758ac15c8f,"Dyskurs, media, multimodalność. W stronę dialogu polonistyczno-germanistycznego","Czachur, Waldemar","Czachur, W., Hanus, A., Miller, D. (2022). Dyskurs, media, multimodalność. W stronę dialogu polonistyczno-germanistycznego. W: Anna Hanus, Waldemar Czachur, Dorota Miller (red.), Dyskurs, media, multimodalność. Przyczynek do dialogu germanistyczno-polonistycznego )s. 7-31). Wrocław: Oficyna Wydawnicza Atut",bookPart,"['dyskurs', 'media', 'multimodalność', 'kontrastywność']",https://depot.ceon.pl/handle/123456789/21556
