,sentence,tokens,slots
0,szukam normy ewentualnie coś poruszającego problematykę wartościach skali i obrad,"['szukam', 'normy', 'ewentualnie', 'coś', 'poruszającego', 'problematykę', 'wartościach', 'skali', 'i', 'obrad']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
1,"chcę encyklopedie, rozprawy","['chcę', 'encyklopedie', ',', 'rozprawy']","['O', 'Doc_type', 'O', 'Doc_type']"
2,chcę skrypty informujące na temat antropologii albo stereotypy dotyczące,"['chcę', 'skrypty', 'informujące', 'na', 'temat', 'antropologii', 'albo', 'stereotypy', 'dotyczące']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
3,"znajdź esej, coś","['znajdź', 'esej', ',', 'coś']","['O', 'Doc_type', 'O', 'Doc_type']"
4,"niech będzie podręcznik, recenzja, skrypt lub książka posiadająca tagi : coopetition strategy","['niech', 'będzie', 'podręcznik', ',', 'recenzja', ',', 'skrypt', 'lub', 'książka', 'posiadająca', 'tagi', ':', 'coopetition', 'strategy']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
5,zapodaj mi encyklopedię dotyczącą okresu,"['zapodaj', 'mi', 'encyklopedię', 'dotyczącą', 'okresu']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
6,"może eseje poruszające problematykę mediów, medialnych charakter","['może', 'eseje', 'poruszające', 'problematykę', 'mediów', ',', 'medialnych', 'charakter']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword']"
7,daj artykuły lub rozprawy,"['daj', 'artykuły', 'lub', 'rozprawy']","['O', 'Doc_type', 'O', 'Doc_type']"
8,"no to podręcznik, publikacja, recenzja która poinformuje mnie na temat Roman bromboszcz, joanna małgorzata banachowicz i innowacje","['no', 'to', 'podręcznik', ',', 'publikacja', ',', 'recenzja', 'która', 'poinformuje', 'mnie', 'na', 'temat', 'Roman', 'bromboszcz', ',', 'joanna', 'małgorzata', 'banachowicz', 'i', 'innowacje']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
9,"masz może prace, publikacje, patenty lub artykuły z motywem rozgrywek, zdziechowski","['masz', 'może', 'prace', ',', 'publikacje', ',', 'patenty', 'lub', 'artykuły', 'z', 'motywem', 'rozgrywek', ',', 'zdziechowski']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword']"
10,znajdź recenzje poświęcone problematyce wartości piękny,"['znajdź', 'recenzje', 'poświęcone', 'problematyce', 'wartości', 'piękny']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
11,wybieram dokumenty ewentualnie recenzje,"['wybieram', 'dokumenty', 'ewentualnie', 'recenzje']","['O', 'Doc_type', 'O', 'Doc_type']"
12,no to wybieram artykuły bądź coś,"['no', 'to', 'wybieram', 'artykuły', 'bądź', 'coś']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
13,niech będą recenzje albo encyklopedie obejmujące podmiot i ciąg ostatni,"['niech', 'będą', 'recenzje', 'albo', 'encyklopedie', 'obejmujące', 'podmiot', 'i', 'ciąg', 'ostatni']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
14,"no to mogą być zeszyty naukowe towarzystwa, dziennej","['no', 'to', 'mogą', 'być', 'zeszyty', 'naukowe', 'towarzystwa', ',', 'dziennej']","['O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword']"
15,daj eseje w branży mediów,"['daj', 'eseje', 'w', 'branży', 'mediów']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
16,"niech będzie artykuł, recenzja","['niech', 'będzie', 'artykuł', ',', 'recenzja']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
17,dodatkowo wybieram norma ewentualnie skrypt,"['dodatkowo', 'wybieram', 'norma', 'ewentualnie', 'skrypt']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
18,"wolę badanie, mssf i spółkę handlowy","['wolę', 'badanie', ',', 'mssf', 'i', 'spółkę', 'handlowy']","['O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
19,daj mi patenty odnoszące się do tematu badanych,"['daj', 'mi', 'patenty', 'odnoszące', 'się', 'do', 'tematu', 'badanych']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
20,znajdź mi instytut książka,"['znajdź', 'mi', 'instytut', 'książka']","['O', 'O', 'B-keyword', 'I-keyword']"
21,zapodaj patent w tematyce użytkowników,"['zapodaj', 'patent', 'w', 'tematyce', 'użytkowników']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
22,"niech będą eseje albo artykuły posiadające miłość, polski tatar albo racjonalności","['niech', 'będą', 'eseje', 'albo', 'artykuły', 'posiadające', 'miłość', ',', 'polski', 'tatar', 'albo', 'racjonalności']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
